"","geneSymbol","mRNA_medvals"
"CD1A","CD1A",15.748
"CD1E","CD1E",13.6812
"OR10R2","OR10R2",0
"OR6K6","OR6K6",0
"MNDA","MNDA",139.5498
"FCER1A","FCER1A",7.0628
"OR10J5","OR10J5",0
"FCRL6","FCRL6",5.35255
"KCNJ9","KCNJ9",0.494
"ATP1A4","ATP1A4",0.507
"DCAF8","DCAF8",1810.6464
"COPA","COPA",7526.3965
"SLAMF6","SLAMF6",45.71055
"CD84","CD84",104.04495
"SLAMF7","SLAMF7",276.1295
"ITLN1","ITLN1",0.6553
"FBLIM1","FBLIM1",793.6911
"ATF6","ATF6",1375.15645
"OLFML2B","OLFML2B",483.09405
"UAP1","UAP1",994.0921
"SPEN","SPEN",1872.97195
"NUF2","NUF2",268.893
"PBX1","PBX1",729.2481
"FAM78B","FAM78B",9.1244
"FBXO42","FBXO42",502.96265
"POU2F1","POU2F1",97.2034
"DCAF6","DCAF6",1501.9277
"SFT2D2","SFT2D2",98.32195
"BLZF1","BLZF1",553.98695
"SCYL3","SCYL3",349.44095
"KIFAP3","KIFAP3",745.0034
"FMO2","FMO2",37.1681
"FMO1","FMO1",25.7215
"C1ORF105","C1ORF105",0
"PAPPA2","PAPPA2",1.1536
"ASTN1","ASTN1",1.5588
"PADI4","PADI4",0.4711
"BRINP2","BRINP2",0.6743
"SOAT1","SOAT1",874.4939
"AXDND1","AXDND1",0.92935
"TDRD5","TDRD5",3.19845
"MR1","MR1",216.9633
"NPL","NPL",244.86175
"NMNAT2","NMNAT2",22.1246
"FAM129A","FAM129A",852.349
"PDC","PDC",0.1955
"IGSF21","IGSF21",17.6587
"BRINP3","BRINP3",0.39195
"TAS1R2","TAS1R2",0
"RGS21","RGS21",0
"UBR4","UBR4",3586.10865
"CFHR4","CFHR4",0
"CFHR2","CFHR2",0
"KIF14","KIF14",161.6367
"C1ORF106","C1ORF106",8.7477
"KIF21B","KIF21B",116.3887
"PTPN7","PTPN7",120.0388
"LGR6","LGR6",11.3204
"SYT2","SYT2",11.6772
"KDM5B","KDM5B",2044.8446
"MYOG","MYOG",0
"ATP2B4","ATP2B4",3354.4248
"NFASC","NFASC",87.7423
"MFSD4","MFSD4",20.9938
"SLC41A1","SLC41A1",943.8318
"PM20D1","PM20D1",0.862
"SLC26A9","SLC26A9",2.6928
"EIF2D","EIF2D",1097.55605
"C1ORF116","C1ORF116",47.1976
"LPGAT1","LPGAT1",1632.0064
"EIF4G3","EIF4G3",1578.0393
"FAM71A","FAM71A",0
"NSL1","NSL1",646.31505
"PROX1","PROX1",8.7336
"CENPF","CENPF",712.9912
"EPRS","EPRS",3322.8943
"IARS2","IARS2",2779.454
"MARK1","MARK1",150.3506
"CCDC185","CCDC185",0
"CAPN2","CAPN2",4460.99665
"NVL","NVL",451.8575
"ENAH","ENAH",2509.9383
"PARP1","PARP1",3921.5517
"NUP133","NUP133",1181.4286
"PGBD5","PGBD5",71.5964
"KIAA1804","KIAA1804",7.7441
"TARBP1","TARBP1",617.4964
"HEATR1","HEATR1",1071.54505
"HNRNPR","HNRNPR",2990.2014
"ZP4","ZP4",0
"ASAP3","ASAP3",301.51515
"FMN2","FMN2",2.019
"RGS7","RGS7",0.4068
"WDR64","WDR64",0.3346
"CNR2","CNR2",0.9029
"MYOM3","MYOM3",3.9735
"IL22RA1","IL22RA1",27.04245
"AHCTF1","AHCTF1",1252.15705
"OR2W5","OR2W5",0
"GCSAML","GCSAML",0.3372
"OR13G1","OR13G1",0
"OR1C1","OR1C1",0
"TRIM58","TRIM58",5.7097
"OR2L13","OR2L13",0
"OR2M2","OR2M2",0
"OR2M3","OR2M3",0
"OR2T12","OR2T12",0
"OR2M7","OR2M7",0
"OR14C36","OR14C36",0
"OR2T6","OR2T6",0
"OR2T2","OR2T2",0
"OR2T3","OR2T3",0
"OR2G6","OR2G6",0
"OR2T10","OR2T10",0
"OR2T27","OR2T27",0
"MAN1C1","MAN1C1",157.4511
"FGR","FGR",170.068
"RPA2","RPA2",887.7846
"EYA3","EYA3",150.717
"YTHDF2","YTHDF2",2042.7258
"PTPRU","PTPRU",798.2623
"BAI2","BAI2",99.30845
"BSDC1","BSDC1",1811.1621
"CSMD2","CSMD2",10.5077
"KIAA0319L","KIAA0319L",1728.4339
"C1ORF216","C1ORF216",311.91475
"CLSPN","CLSPN",97.02505
"CCDC27","CCDC27",0
"GRIK3","GRIK3",6.3006
"CEP104","CEP104",681.5024
"MACF1","MACF1",3973.8806
"TIE1","TIE1",188.4189
"PTPRF","PTPRF",6100.0208
"KDM4A","KDM4A",1311.1243
"B4GALT2","B4GALT2",1016.8329
"KLF17","KLF17",2.1585
"CYP4B1","CYP4B1",2.2727
"CYP4A11","CYP4A11",0.3372
"CYP4X1","CYP4X1",3.9773
"CYP4Z1","CYP4Z1",0
"CYP4A22","CYP4A22",0
"ZFYVE9","ZFYVE9",559.095
"ZCCHC11","ZCCHC11",487.46785
"DMRTB1","DMRTB1",0
"GLIS1","GLIS1",4.7202
"LDLRAD1","LDLRAD1",1.1789
"PRKAA2","PRKAA2",17.59075
"C1ORF168","C1ORF168",0.15655
"MYSM1","MYSM1",113.6147
"CHD5","CHD5",2.16515
"NFIA","NFIA",523.0053
"L1TD1","L1TD1",1.8088
"KANK4","KANK4",8.3397
"NOL9","NOL9",164.9872
"DNAJC11","DNAJC11",1044.79405
"SERBP1","SERBP1",5743.09175
"PTGER3","PTGER3",19.84765
"SLC44A5","SLC44A5",29.867
"ST6GALNAC3","ST6GALNAC3",36.4043
"ST6GALNAC5","ST6GALNAC5",88.8383
"PER3","PER3",655.0863
"PTGFR","PTGFR",16.3111
"ELTD1","ELTD1",253.075
"SLC45A1","SLC45A1",12.4368
"MCOLN3","MCOLN3",27.3248
"WDR63","WDR63",3.5337
"COL24A1","COL24A1",16.41005
"CLCA2","CLCA2",4.87445
"PKN2","PKN2",968.7976
"GBP1","GBP1",958.19995
"GBP7","GBP7",0.6995
"LRRC8C","LRRC8C",369.22435
"PIK3CD","PIK3CD",252.2523
"CLSTN1","CLSTN1",6626.6495
"FRRS1","FRRS1",106.94095
"LONRF2","LONRF2",141.3618
"GRHL1","GRHL1",356.9679
"IL1R1","IL1R1",312.5559
"IL1RL1","IL1RL1",3.488
"IL18RAP","IL18RAP",5.58275
"SLC9A4","SLC9A4",0.4998
"SLC9A2","SLC9A2",3.8771
"ST6GAL2","ST6GAL2",8.7612
"RGPD4","RGPD4",112.337
"SULT1C3","SULT1C3",0
"MALL","MALL",121.7257
"ANAPC1","ANAPC1",719.4157
"IL37","IL37",0.57665
"IL36A","IL36A",0
"RABL2A","RABL2A",286.95465
"ACTR3","ACTR3",4377.28845
"DPP10","DPP10",0.0402
"GREB1","GREB1",94.9525
"MARCO","MARCO",72.6556
"SCTR","SCTR",1.0262
"INHBB","INHBB",111.261
"SAP130","SAP130",785.0439
"POTEF","POTEF",12.0733
"GPR148","GPR148",0
"POTEE","POTEE",3.73895
"CCDC74A","CCDC74A",76.4747
"MGAT5","MGAT5",219.2026
"R3HDM1","R3HDM1",609.1353
"UBXN4","UBXN4",3471.027
"SPOPL","SPOPL",578.54825
"LRP1B","LRP1B",0.6803
"KYNU","KYNU",59.4475
"ARHGAP15","ARHGAP15",52.8571
"RIF1","RIF1",777.8641
"GALNT13","GALNT13",4.0733
"GALNT5","GALNT5",75.7243
"ERMN","ERMN",8.5005
"CYTIP","CYTIP",143.13725
"ACVR1C","ACVR1C",28.4634
"PKP4","PKP4",1488.6336
"BAZ2B","BAZ2B",595.982
"PLA2R1","PLA2R1",113.5623
"KCNH7","KCNH7",0.2957
"CSRNP3","CSRNP3",2.4715
"XIRP2","XIRP2",0.0027
"B3GALT1","B3GALT1",3.36805
"CERS6","CERS6",1119.348
"MYO3B","MYO3B",2.689
"RAPGEF4","RAPGEF4",63.5623
"KIAA1715","KIAA1715",729.5683
"GEN1","GEN1",233.9744
"CCDC141","CCDC141",4.383
"PDE1A","PDE1A",21.669
"DNAJC10","DNAJC10",2464.2616
"ZC3H15","ZC3H15",1410.66615
"ITGAV","ITGAV",2638.8657
"ZSWIM2","ZSWIM2",0
"TFPI","TFPI",321.70795
"ANKAR","ANKAR",13.5296
"GLS","GLS",1286.4633
"TMEFF2","TMEFF2",0.0056
"DNAH7","DNAH7",5.5849
"HECW2","HECW2",106.7451
"MARS2","MARS2",195.96745
"PLCL1","PLCL1",75.2698
"SGOL2","SGOL2",210.8705
"AOX1","AOX1",53.8523
"ORC2","ORC2",378.4195
"STRADB","STRADB",197.24995
"ALS2CR11","ALS2CR11",2.5488
"SDC1","SDC1",5254.4617
"NBEAL1","NBEAL1",97.43205
"RAPH1","RAPH1",970.3152
"PARD3B","PARD3B",33.7935
"NRP2","NRP2",1223.96635
"ADAM23","ADAM23",17.1492
"KLF7","KLF7",124.69045
"C2ORF80","C2ORF80",0
"PTH2R","PTH2R",1.42585
"MAP2","MAP2",175.8908
"SPAG16","SPAG16",205.45085
"USP37","USP37",429.6482
"RQCD1","RQCD1",251.5595
"TTLL4","TTLL4",469.3997
"SGPP2","SGPP2",14.7465
"SPHKAP","SPHKAP",0
"PID1","PID1",9.9244
"DNER","DNER",9.256
"TRIP12","TRIP12",2911.353
"SLC16A14","SLC16A14",29.3324
"SP140","SP140",41.5778
"PSMD1","PSMD1",2724.10475
"ALPPL2","ALPPL2",0
"TRPM8","TRPM8",7.8372
"SH3BP4","SH3BP4",1613.9159
"AGAP1","AGAP1",357.6947
"GPR35","GPR35",28.1548
"HDLBP","HDLBP",9693.57405
"FARP2","FARP2",270.0866
"NCOA1","NCOA1",1219.21565
"KIF3C","KIF3C",455.1378
"GTF3C2","GTF3C2",1507.49765
"SUPT7L","SUPT7L",992.4925
"RBKS","RBKS",66.9528
"BRE","BRE",487.3898
"PLB1","PLB1",49.9495
"GALNT14","GALNT14",110.6727
"EHD3","EHD3",322.0027
"MEMO1","MEMO1",336.4098
"NLRC4","NLRC4",37.8452
"CRIM1","CRIM1",1036.2117
"STRN","STRN",273.566
"HEATR5B","HEATR5B",625.779
"ATL2","ATL2",918.3597
"HNRNPLL","HNRNPLL",404.26905
"DHX57","DHX57",566.0909
"THUMPD2","THUMPD2",185.5584
"EML4","EML4",1700.8948
"PLEKHH2","PLEKHH2",82.6617
"PPM1B","PPM1B",893.4905
"SPTBN1","SPTBN1",5661.58
"CCDC88A","CCDC88A",526.0093
"SMEK2","SMEK2",2028.02785
"BCL11A","BCL11A",60.9809
"USP34","USP34",2334.3442
"XPO1","XPO1",3748.3349
"CEP68","CEP68",550.79525
"MPHOSPH10","MPHOSPH10",823.63355
"ZNF638","ZNF638",1853.1193
"TPRKB","TPRKB",312.21525
"DUSP11","DUSP11",380.33835
"SLC4A5","SLC4A5",137.2292
"SEMA4F","SEMA4F",244.6513
"REG1B","REG1B",0
"REG3A","REG3A",0
"CTNNA2","CTNNA2",0.5866
"KDM3A","KDM3A",1499.405
"RMND5A","RMND5A",1687.03875
"CD8B","CD8B",23.6008
"SMYD1","SMYD1",0.00765
"TEX37","TEX37",0
"NCAPH","NCAPH",204.77015
"ACTR1B","ACTR1B",1430.5446
"VWA3B","VWA3B",1.6889
"MGAT4A","MGAT4A",1026.61635
"TMEM45A","TMEM45A",347.9694
"GPR128","GPR128",0
"IRAK2","IRAK2",74.1573
"NXPE3","NXPE3",347.85255
"ZPLD1","ZPLD1",1.13645
"SLC6A11","SLC6A11",0.2912
"BBX","BBX",1474.73065
"RETNLB","RETNLB",0
"TRAT1","TRAT1",15.8463
"MORC1","MORC1",0
"PHLDB2","PHLDB2",380.20635
"SPICE1","SPICE1",283.7729
"ATP6V1A","ATP6V1A",2497.9991
"GRAMD1C","GRAMD1C",146.41245
"QTRTD1","QTRTD1",568.02015
"GPR156","GPR156",2.34195
"STXBP5L","STXBP5L",0.7505
"ARGFX","ARGFX",0
"GOLGB1","GOLGB1",3132.82
"SLC15A2","SLC15A2",29.2842
"CD86","CD86",159.5058
"ROPN1","ROPN1",0.3656
"ITGB5","ITGB5",2967.3995
"SLC12A8","SLC12A8",242.21525
"ZNF148","ZNF148",1212.186
"ALDH1L1","ALDH1L1",8.6455
"CAND2","CAND2",45.4545
"PLXNA1","PLXNA1",2514.7432
"H1FOO","H1FOO",0
"TMCC1","TMCC1",783.6003
"PIK3R4","PIK3R4",808.4723
"CPNE4","CPNE4",0.27705
"NUP210","NUP210",1531.743
"TMEM108","TMEM108",42.24655
"EPHB1","EPHB1",25.9072
"PPP2R3A","PPP2R3A",385.6655
"CEP70","CEP70",305.325
"CLSTN2","CLSTN2",22.4765
"TRIM42","TRIM42",0
"PXYLP1","PXYLP1",368.41585
"RASA2","RASA2",127.5687
"PCOLCE2","PCOLCE2",23.6655
"C3ORF20","C3ORF20",0.0079
"CPB1","CPB1",0.7463
"CPA3","CPA3",33.6957
"WWTR1","WWTR1",531.2954
"ZFYVE20","ZFYVE20",539.2921
"ERICH6","ERICH6",0.54635
"MED12L","MED12L",6.1633
"IGSF10","IGSF10",18.7973
"PLCH1","PLCH1",28.9476
"KCNAB1","KCNAB1",27.2022
"OXNAD1","OXNAD1",187.989
"SLITRK3","SLITRK3",0.4394
"SERPINI2","SERPINI2",0
"WDR49","WDR49",0.4988
"GOLIM4","GOLIM4",1057.42855
"PLCL2","PLCL2",131.4946
"MECOM","MECOM",127.4238
"MYNN","MYNN",385.1085
"LRRC31","LRRC31",0
"TNFSF10","TNFSF10",701.1364
"NLGN1","NLGN1",9.73285
"NDUFB5","NDUFB5",1350.7867
"SATB1","SATB1",259.5779
"HTR3E","HTR3E",0
"ECE2","ECE2",255.0761
"CHRD","CHRD",42.67565
"OSTN","OSTN",0
"FGF12","FGF12",9.6484
"ATP13A5","ATP13A5",0.0038
"GP5","GP5",1.1983
"WDR53","WDR53",111.4481
"LMLN","LMLN",264.3073
"ZNF385D","ZNF385D",5.28275
"NR1D2","NR1D2",801.4569
"LRRC3B","LRRC3B",0.0282
"SLC4A7","SLC4A7",513.9079
"OSBPL10","OSBPL10",369.44385
"CNOT10","CNOT10",565.5488
"ARPP21","ARPP21",0.33235
"STAC","STAC",10.602
"DCLK3","DCLK3",6.0297
"ITGA9","ITGA9",70.4279
"DLEC1","DLEC1",3.9746
"SCN10A","SCN10A",0
"SCN11A","SCN11A",2.1259
"VIPR1","VIPR1",6.4059
"ACKR2","ACKR2",18.88545
"SNRK","SNRK",934.9278
"TCAIM","TCAIM",323.7583
"CDCP1","CDCP1",199.1131
"ALS2CL","ALS2CL",146.2833
"KIF9","KIF9",84.6155
"SMARCC1","SMARCC1",2454.1592
"BSN","BSN",30.7018
"RNF123","RNF123",679.42745
"MST1R","MST1R",149.6564
"SEMA3F","SEMA3F",295.0958
"PARP3","PARP3",564.2994
"TLR9","TLR9",20.3716
"PRKCD","PRKCD",1218.446
"DNAH12","DNAH12",1.3577
"PSMD6","PSMD6",1007.4738
"MAGI1","MAGI1",196.566
"LRIG1","LRIG1",269.3347
"SUCLG2","SUCLG2",733.3333
"FAM19A4","FAM19A4",0
"PDZRN3","PDZRN3",151.5139
"CNTN3","CNTN3",10.0979
"SSUH2","SSUH2",1.2289
"EPHA3","EPHA3",49.63595
"SRGAP3","SRGAP3",102.5942
"LHFPL4","LHFPL4",0.6086
"NSUN3","NSUN3",118.6354
"OR5AC2","OR5AC2",0
"OR5H14","OR5H14",0
"OR5H15","OR5H15",0
"OR5H6","OR5H6",0
"ADH7","ADH7",0
"NFKB1","NFKB1",1043.7995
"SLC9B1","SLC9B1",2.12325
"NPNT","NPNT",290.8791
"ENPEP","ENPEP",102.084
"NEUROG2","NEUROG2",0
"UGT8","UGT8",146.94625
"NDST4","NDST4",0
"USP53","USP53",568.6127
"KIAA1109","KIAA1109",1137.1528
"IL2","IL2",0
"FAT4","FAT4",82.2657
"PCDH18","PCDH18",131.8927
"SLC7A11","SLC7A11",113.1117
"ELF2","ELF2",564.8641
"MGARP","MGARP",3.0326
"NAA15","NAA15",952.7827
"CLGN","CLGN",17.80145
"GAB1","GAB1",395.8193
"GYPB","GYPB",0
"HHIP","HHIP",2.6882
"CPEB2","CPEB2",415.9652
"ABCE1","ABCE1",1199.4675
"SH3D19","SH3D19",961.0911
"FBXW7","FBXW7",322.47735
"RBM46","RBM46",0.228
"NPY2R","NPY2R",0
"ASIC5","ASIC5",0
"PDGFC","PDGFC",93.2203
"FSTL5","FSTL5",0.7226
"NPY5R","NPY5R",0.00405
"TKTL2","TKTL2",0.29375
"TRIM61","TRIM61",1.10955
"TMEM192","TMEM192",432.5513
"CPE","CPE",679.6002
"GALNTL6","GALNTL6",0.3488
"ADAM29","ADAM29",0.13375
"ASB5","ASB5",0
"MTNR1A","MTNR1A",0.0211
"ZFP42","ZFP42",0
"NELFA","NELFA",827.4805
"SLIT2","SLIT2",69.9816
"KCNIP4","KCNIP4",14.09015
"GPR125","GPR125",719.5221
"GBA3","GBA3",0.61065
"ZFYVE28","ZFYVE28",125
"PPARGC1A","PPARGC1A",22.4359
"ANAPC4","ANAPC4",433.7827
"STIM2","STIM2",587.3123
"ARAP2","ARAP2",338.96295
"TMEM156","TMEM156",7.71425
"RFC1","RFC1",1403.69315
"UGDH","UGDH",1257.3123
"CHRNA9","CHRNA9",0.2887
"LIMCH1","LIMCH1",301.5931
"DCAF4L1","DCAF4L1",4.47875
"SHISA3","SHISA3",11.1322
"ATP8A1","ATP8A1",186.9321
"ZBTB49","ZBTB49",74.7316
"NFXL1","NFXL1",192.1552
"CWH43","CWH43",0.122
"PIGG","PIGG",713.243
"CYTL1","CYTL1",11.60835
"LRRC66","LRRC66",3.486
"SPATA18","SPATA18",38.66015
"EXOC1","EXOC1",827.49955
"REST","REST",272.86785
"JAKMIP1","JAKMIP1",8.2058
"PPP2R2C","PPP2R2C",5.6497
"TMPRSS11A","TMPRSS11A",0
"UGT2B10","UGT2B10",0
"UGT2A3","UGT2A3",0
"UGT2B7","UGT2B7",3.3223
"UGT2B11","UGT2B11",0
"UGT2B28","UGT2B28",0
"UGT2B4","UGT2B4",0
"STATH","STATH",0
"HTN1","HTN1",0
"AMBN","AMBN",0
"ANKRD17","ANKRD17",2185.67465
"PPBP","PPBP",0.6242
"EREG","EREG",10.2103
"BTC","BTC",7.4218
"CDKL2","CDKL2",14.359
"NAAA","NAAA",307.0707
"CCDC158","CCDC158",0.8913
"SHROOM3","SHROOM3",482.5996
"GK2","GK2",0
"PRDM8","PRDM8",45.52725
"C4ORF22","C4ORF22",0
"PRKG2","PRKG2",11.42055
"AGPAT9","AGPAT9",125.7732
"GAK","GAK",1609.32665
"MEPE","MEPE",0.11965
"HERC5","HERC5",161.5703
"GRID2","GRID2",0
"PDLIM5","PDLIM5",1363.2719
"SLCO6A1","SLCO6A1",0
"GIN1","GIN1",110.6573
"PPIP5K2","PPIP5K2",636.9971
"CMBL","CMBL",396.2124
"PJA2","PJA2",1929.8133
"SLC12A7","SLC12A7",1474.4132
"YTHDC2","YTHDC2",534.9501
"CDO1","CDO1",25.5639
"AQPEP","AQPEP",5.17485
"FAM170A","FAM170A",0
"ADAMTS19","ADAMTS19",0
"FNIP1","FNIP1",622.5463
"ACSL6","ACSL6",6.4834
"FSTL4","FSTL4",6.2477
"PPP2CA","PPP2CA",4046.139
"SLC25A48","SLC25A48",0.75325
"WNT8A","WNT8A",0
"KDM3B","KDM3B",1759.69055
"NRG2","NRG2",6.82915
"YIPF5","YIPF5",1079.7946
"KCTD16","KCTD16",5.3945
"SH3RF2","SH3RF2",5.6541
"TCERG1","TCERG1",898.1808
"FBXO38","FBXO38",676.5899
"ABLIM3","ABLIM3",398.9899
"PCYOX1L","PCYOX1L",353
"NDST1","NDST1",2120.3022
"ZNF300","ZNF300",70.7546
"SLC36A3","SLC36A3",0
"SLC36A1","SLC36A1",440.1284
"FAT2","FAT2",21.16325
"G3BP1","G3BP1",2056.2446
"NMUR2","NMUR2",0.3563
"GALNT10","GALNT10",1124.623
"LARP1","LARP1",4380.76795
"GEMIN5","GEMIN5",625.3391
"KIF4B","KIF4B",10.2717
"FAM71B","FAM71B",0
"ADAM19","ADAM19",323.4084
"RNF145","RNF145",2398.1687
"TTC1","TTC1",792.1522
"C1QTNF2","C1QTNF2",7.2239
"GABRA6","GABRA6",0
"RARS","RARS",1305.06375
"SLIT3","SLIT3",164.8113
"KCNIP1","KCNIP1",1.871
"ERGIC1","ERGIC1",6013.5144
"STC2","STC2",183.9261
"DRD1","DRD1",1.4514
"UNC5A","UNC5A",5.2836
"HK3","HK3",80.0956
"FAM153A","FAM153A",2.1949
"COL23A1","COL23A1",9.0438
"ZNF354A","ZNF354A",237.4796
"ZFP2","ZFP2",6.5937
"TBC1D9B","TBC1D9B",3110.7869
"GFPT2","GFPT2",352.8205
"BTNL8","BTNL8",1.4261
"PLEKHG4B","PLEKHG4B",15.0231
"CDH9","CDH9",0
"CDH6","CDH6",39.7842
"PDZD2","PDZD2",140.27815
"ADAMTS12","ADAMTS12",89.4617
"DNAJC21","DNAJC21",1442.394
"AGXT2","AGXT2",0
"PRLR","PRLR",35.0864
"SPEF2","SPEF2",40.8567
"CAPSL","CAPSL",0
"UGT3A2","UGT3A2",1.17595
"EGFLAM","EGFLAM",86.7551
"PLCXD3","PLCXD3",5.397
"DHX29","DHX29",668.1499
"ANKRD55","ANKRD55",2.8264
"PLK2","PLK2",1146.7757
"IPO11","IPO11",469.2571
"CDK7","CDK7",426.5293
"NAIP","NAIP",32.4463
"BDP1","BDP1",623.165
"ZNF366","ZNF366",16.129
"AGGF1","AGGF1",684.0863
"ADCY2","ADCY2",6.8234
"SSBP2","SSBP2",168.8805
"XRCC4","XRCC4",84.8164
"HAPLN1","HAPLN1",8.43425
"TMEM161B","TMEM161B",201.61635
"ZDHHC11","ZDHHC11",32.5418
"FAM81B","FAM81B",0.302
"RHOBTB3","RHOBTB3",1255.688
"MCHR2","MCHR2",0
"ASCC3","ASCC3",986.5591
"PRDM1","PRDM1",338.5565
"AIM1","AIM1",723.8582
"NR2E1","NR2E1",1.6736
"AK9","AK9",82.5875
"SYCP2L","SYCP2L",2.443
"REV3L","REV3L",442.71115
"ZUFSP","ZUFSP",155.33895
"KPNA5","KPNA5",45.9239
"GPRC6A","GPRC6A",0
"ROS1","ROS1",0.8944
"FAM184A","FAM184A",20.0682
"MAN1A1","MAN1A1",427.5762
"HIVEP1","HIVEP1",586.0178
"SOGA3","SOGA3",15.2871
"THEMIS","THEMIS",35.5438
"ARHGAP18","ARHGAP18",658.899
"L3MBTL3","L3MBTL3",182.3937
"ENPP3","ENPP3",3.2914
"TAAR6","TAAR6",0
"TAAR5","TAAR5",0
"SGK1","SGK1",3885.8924
"ALDH8A1","ALDH8A1",6.6372
"MTFR2","MTFR2",131.3269
"MAP3K5","MAP3K5",516.1816
"SIRT5","SIRT5",251.50035
"IL20RA","IL20RA",5.4039
"HIVEP2","HIVEP2",851.5034
"ZBTB2","ZBTB2",455.1754
"CNKSR3","CNKSR3",311.1145
"TFB1M","TFB1M",132.73135
"SLC22A2","SLC22A2",0.3052
"SLC22A3","SLC22A3",18.64345
"PDE10A","PDE10A",83.1118
"TTLL2","TTLL2",0.4055
"RBM24","RBM24",6.92165
"KDM1B","KDM1B",574.1586
"KIAA0319","KIAA0319",5.016
"SLC17A4","SLC17A4",0
"HIST1H1C","HIST1H1C",507.907
"HIST1H1D","HIST1H1D",1.4977
"BTN2A1","BTN2A1",432.03095
"BTN1A1","BTN1A1",1.36325
"PRSS16","PRSS16",341.199
"ZNF391","ZNF391",15.4991
"OR2B6","OR2B6",0.84945
"ZSCAN31","ZSCAN31",170.9677
"ZKSCAN3","ZKSCAN3",58.9388
"GPX6","GPX6",0
"GPX5","GPX5",0
"OR2B3","OR2B3",0
"GABBR1","GABBR1",299.73795
"TRIM10","TRIM10",0
"MDC1","MDC1",758.8759
"DDR1","DDR1",5909.8627
"MUC21","MUC21",0
"PRRC2A","PRRC2A",5472.3712
"NOTCH4","NOTCH4",338.5477
"C6ORF10","C6ORF10",0
"HLA-DRA","HLA-DRA",9715.28115
"HLA-DOB","HLA-DOB",76.0701
"HLA-DPA1","HLA-DPA1",5717.5257
"VPS52","VPS52",1363.7814
"IP6K3","IP6K3",6.7259
"GRM4","GRM4",1.8059
"C6ORF106","C6ORF106",3603.1851
"TCP11","TCP11",0.66955
"CLPSL1","CLPSL1",0.0457
"BRPF3","BRPF3",1033.9904
"C6ORF222","C6ORF222",0.32625
"SRSF3","SRSF3",2873.3889
"DNAH8","DNAH8",1.18055
"KCNK5","KCNK5",91.2409
"KCNK17","KCNK17",0.2836
"LRFN2","LRFN2",0.3419
"ZNF318","ZNF318",776.9801
"SLC29A1","SLC29A1",1608.5499
"SPATS1","SPATS1",0.5251
"CDC5L","CDC5L",889.91655
"CLIC5","CLIC5",49.0141
"ENPP4","ENPP4",236.3411
"TDRD6","TDRD6",6.72005
"GPR116","GPR116",529.4365
"GPR115","GPR115",2.9824
"CRISP2","CRISP2",0
"CRISP3","CRISP3",0
"MLIP","MLIP",0.5378
"HMGCLL1","HMGCLL1",0.6652
"LGSN","LGSN",0.58605
"RREB1","RREB1",852.7691
"RIOK1","RIOK1",439.44065
"KCNQ5","KCNQ5",17.3797
"KHDC1L","KHDC1L",0.1686
"DDX43","DDX43",2.8329
"COL12A1","COL12A1",1505.81065
"FILIP1","FILIP1",41.5512
"IMPG1","IMPG1",0.9975
"HTR1E","HTR1E",0
"CNR1","CNR1",21.2576
"MDN1","MDN1",693.0831
"BACH2","BACH2",53.7095
"EPHA7","EPHA7",2.25955
"FUT9","FUT9",0
"KLHL32","KLHL32",7.6853
"EPHB4","EPHB4",1995.1127
"MUC17","MUC17",0
"CUX1","CUX1",1690.03525
"NAPEPLD","NAPEPLD",402.7945
"HBP1","HBP1",1827.7093
"CBLL1","CBLL1",733.6283
"LAMB4","LAMB4",1.71685
"C7ORF60","C7ORF60",294.1134
"WNT2","WNT2",27.7919
"KCND2","KCND2",9.91705
"CPED1","CPED1",99.7064
"PTPRZ1","PTPRZ1",43.81165
"ASB15","ASB15",0
"HYAL4","HYAL4",0.0406
"UNCX","UNCX",0
"METTL2B","METTL2B",312.3578
"FAM71F1","FAM71F1",0.02945
"TNPO3","TNPO3",1132.8593
"LRGUK","LRGUK",3.3707
"SLC35B4","SLC35B4",494.6757
"AKR1B10","AKR1B10",3.1037
"WDR91","WDR91",678.8033
"DGKI","DGKI",5.67145
"TRIM24","TRIM24",660.2746
"UBN2","UBN2",581.5911
"PRSS37","PRSS37",0
"PRSS58","PRSS58",0
"EPHB6","EPHB6",63.3156
"OR9A2","OR9A2",0
"TAS2R39","TAS2R39",0
"OR2F2","OR2F2",0
"OR2F1","OR2F1",0
"OR2A2","OR2A2",0
"ARHGEF5","ARHGEF5",451.4673
"ZNF777","ZNF777",472.5
"GIMAP8","GIMAP8",185.4276
"GIMAP7","GIMAP7",191.404
"GIMAP6","GIMAP6",262.7069
"GIMAP2","GIMAP2",155.07585
"AOC1","AOC1",9.98955
"MACC1","MACC1",44.1077
"ITGB8","ITGB8",662.4914
"ABCB5","ABCB5",1.8174
"SP4","SP4",213.6059
"NUPL2","NUPL2",487.5752
"CCDC126","CCDC126",93.5714
"STK31","STK31",2.1991
"NFE2L3","NFE2L3",477.6483
"EVX1","EVX1",0.2836
"CREB5","CREB5",193.6719
"NOD1","NOD1",256.3239
"CRHR2","CRHR2",0.009
"PDE1C","PDE1C",3.4384
"NPSR1","NPSR1",0
"AOAH","AOAH",85.0226
"ELMO1","ELMO1",244.2219
"AMPH","AMPH",11.6739
"VPS41","VPS41",1153.43865
"CDK13","CDK13",1069.35335
"SDK1","SDK1",122.78265
"C7ORF25","C7ORF25",306.1224
"HECW1","HECW1",7.3558
